# AW Keyword,New Keyword,Comment,Unit
FLUX_GAAP_i_1p0,FLUX_GAAP_1p0_i1,"GAAP i-band flux minaper 1.0arcs (count)","count"
FLUX_GAAP_i2_1p0,FLUX_GAAP_1p0_i2,"GAAP i-band flux minaper 1.0arcs (count)","count"
FLUXERR_GAAP_u_1p0,FLUXERR_GAAP_1p0_u,"Error on FLUX_GAAP_u minaper 1.0arcs (count)","count"
FLUXERR_GAAP_g_1p0,FLUXERR_GAAP_1p0_g,"Error on FLUX_GAAP_g minaper 1.0arcs (count)","count"
FLUXERR_GAAP_r_1p0,FLUXERR_GAAP_1p0_r,"Error on FLUX_GAAP_r minaper 1.0arcs (count)","count"
FLUXERR_GAAP_i_1p0,FLUXERR_GAAP_1p0_i1,"Error on FLUX_GAAP_i1 minaper 1.0arcs (count)","count"
FLUXERR_GAAP_i2_1p0,FLUXERR_GAAP_1p0_i2,"Error on FLUX_GAAP_i2 minaper 1.0arcs (count)","count"
MAG_ISO_THELI,MAG_ISO,"r-band Isophotal Magnitude (mag)","mag"
MAGERR_ISO_THELI,MAGERR_ISO,"Error on MAG_ISO (mag)","mag"
FLUX_ISO_THELI,FLUX_ISO,"r-band Isophotal Flux (count)","count"
FLUXERR_ISO_THELI,FLUXERR_ISO,"Error on FLUX_ISO (count)","count"
MAG_ISOCOR_THELI,MAG_ISOCOR,"r-band Corrected Isophotal Magnitude (mag)","mag"
MAGERR_ISOCOR_THELI,MAGERR_ISOCOR,"Error on MAG_ISOCOR (mag)","mag"
FLUX_ISOCOR_THELI,FLUX_ISOCOR,"r-band Corrected Isophotal Flux (count)","count"
FLUXERR_ISOCOR_THELI,FLUXERR_ISOCOR,"Error on FLUX_ISOCOR (count)","count"
NIMAFLAGS_ISO_THELI,NIMAFLAGS_ISO,"Number of flagged pixels over the isophotal profile",""
IMAFLAGS_ISO_THELI,IMAFLAGS_ISO,"FLAG-image flags ORed over the isophotal profile",""
XMIN_IMAGE_THELI,XMIN_IMAGE,"Minimum x-coordinate among detected pixels (pixel)","pixel"
YMIN_IMAGE_THELI,YMIN_IMAGE,"Minimum y-coordinate among detected pixels (pixel)","pixel"
XMAX_IMAGE_THELI,XMAX_IMAGE,"Maximum x-coordinate among detected pixels (pixel)","pixel"
YMAX_IMAGE_THELI,YMAX_IMAGE,"Maximum x-coordinate among detected pixels (pixel)","pixel"
X_WORLD_THELI,X_WORLD,"Barycentre position along world x axis (deg)","deg"
Y_WORLD_THELI,Y_WORLD,"Barycentre position along world y axis (deg)","deg"
X2_WORLD_THELI,X2_WORLD,"Variance of position along X_WORLD (alpha) (deg^2)","deg**2"
Y2_WORLD_THELI,Y2_WORLD,"Variance of position along X_WORLD (delta) (deg^2)","deg**2"
XY_WORLD_THELI,XY_WORLD,"Covariance of position X_WORLD/Y_WORLD (deg^2)","deg**2"
ERRX2_WORLD_THELI,ERRX2_WORLD,"Error on XY_WORLD (deg^2)","deg**2"
ERRY2_WORLD_THELI,ERRY2_WORLD,"Error on XY_WORLD (deg^2)","deg**2"
ERRXY_WORLD_THELI,ERRXY_WORLD,"Error on XY_WORLD (deg^2)","deg**2"
CXX_WORLD_THELI,CXX_WORLD,"SExtractor Cxx object ellipse parameter (deg^-2)","deg**(-2)"
CYY_WORLD_THELI,CYY_WORLD,"SExtractor Cyy object ellipse parameter (deg^-2)","deg**(-2)"
CXY_WORLD_THELI,CXY_WORLD,"SExtractor Cxy object ellipse parameter (deg^-2)","deg**(-2)"
ERRCXX_WORLD_THELI,ERRCXX_WORLD,"Error on CXX_WORLD (deg^-2)","deg**(-2)"
