OBJECT,Catalogue,u_kids,u_gaia,u_kids_10,u_gaia_10,g_kids,g_gaia,g_kids_10,g_gaia_10,r_kids,r_gaia,r_kids_10,r_gaia_10,i_kids,i_gaia,i_kids_10,i_gaia_10,i2_kids,i2_gaia,i2_kids_10,i2_gaia_10,Ebv,b,Survey,FLAG,u_off_0p7,u_off_1p0,g_off_0p7,g_off_1p0,r_off_0p7,r_off_1p0,i_off_0p7,i_off_1p0,i2_off_0p7,i2_off_1p0
KIDS_171.0_-0.5,KIDS_171p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,1.30622173025934,-0.0452424196023451,0.851746292088707,-0.0462314196023452,0.371740307684214,0.030577,0.239922355364584,0.035529,0.0267934056128128,0.030531,0.0290580775208764,0.035776,0.0786104971704113,0.072986,0.0834601170541045,0.076186,-1.11136942625724,0.075761,-0.957940887290196,0.081867,0.028378,55.2862,KiDS,2,1.35146414986169,0.897977711691052,0.341163307684214,0.204393355364584,-0.0037375943871872,-0.0067179224791236,0.0056244971704113,0.0072741170541045,-1.18713042625724,-1.0398078872902
KIDS_172.5_-3.5,KIDS_172p5_m3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0989341266246575,-0.0915224427380389,0.104485076398493,-0.0884494427380389,0.152947923971457,0.099608,0.156967112144717,0.103122,0.0062037286997048,0.011401,0.0101355781110999,0.014936,0.0274395915137506,0.036141,0.030848742942727,0.041418,-0.100688060145123,-0.089579,-0.0945118010722195,-0.085191,0.041356,53.6341,KiDS,2,0.190456569362696,0.192934519136532,0.0533399239714571,0.0538451121447174,-0.0051972713002952,-0.0048004218889001,-0.0087014084862494,-0.010569257057273,-0.0111090601451226,-0.0093208010722195
KIDS_37.2_-34.1,KIDS_37p2_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0030702807757363,0.0137629049074279,-0.0130965296146176,0.0180189049074279,-0.0534795500651887,0.012381,-0.0532370843163215,0.013211,-0.0071019944122627,0.008996,-0.0051787970586318,0.012922,0.0534994970415848,0.039598,0.0557376130104613,0.04175,-0.0556539492997011,-0.063721,-0.0487889065084912,-0.06003,0.017191,-67.9687,KiDS,2,-0.0168331856831642,-0.0311154345220455,-0.0658605500651887,-0.0664480843163215,-0.0160979944122627,-0.0181007970586318,0.0139014970415848,0.0139876130104613,0.0080670507002989,0.0112410934915088
KIDS_27.6_-34.1,KIDS_27p6_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,99,-0.0204629496840449,0.0034313203172348,-0.0204629496840449,99,0.026719,0.0298041603168548,0.030455,99,0.05554,0.0430017421894307,0.057817,-99,0.026054,0.0248097509379769,0.030036,-99,-0.084414,-0.0921782118663584,-0.081441,0.016415,-75.5248,KiDS,1,0.0204629496840449,0.0238942700012797,-0.026719,-0.0006508396831452,-0.05554,-0.0148152578105693,-0.026054,-0.0052262490620231,0.084414,-0.0107372118663584
KIDS_160.0_-0.5,KIDS_160p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.237178791984058,-0.0532848483462386,0.297916591261006,-0.0532848483462386,0.0325363681715587,-0.02055,0.0518439567424662,-0.017303,-0.0612300021134539,-0.049168,-0.05848019605158,-0.045493,0.0375534151522088,0.063995,0.035957819850054,0.069137,0.0447257293302889,0.073888,0.0428191672742294,0.077875,0.044882,48.0336,KiDS,2,0.290463640330297,0.351201439607244,0.0530863681715587,0.0691469567424662,-0.0120620021134539,-0.01298719605158,-0.0264415848477912,-0.033179180149946,-0.0291622706697111,-0.0350558327257706
KIDS_229.0_-1.5,KIDS_229p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.816471212940392,-0.0134783939198167,3.12690575070906,-0.0130093939198167,0.170043381397821,0.057366,0.0101467817687861,0.061119,0.0159557589994548,0.027271,-1.07183491493604,0.031717,0.0397268341378476,0.047234,-1.38045461389722,0.051001,-0.103588520052917,-0.091236,-1.52944546380437,-0.087926,0.121782,44.9564,KiDS,2,0.829949606860208,3.13991514462888,0.112677381397821,-0.0509722182312139,-0.0113152410005452,-1.10355191493604,-0.0075071658621524,-1.43145561389722,-0.0123525200529171,-1.44151946380437
KIDS_229.6_2.5,KIDS_229p6_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.572809380773351,-0.0046907242150551,3.55331916238609,-0.0061237242150551,0.188600074008553,0.057764,0.998210810033981,0.060825,0.0233796218442311,0.031633,-0.0041933880797481,0.037797,0.0243146779416031,0.065192,-0.315115396415239,0.067904,0.0417171257378208,0.082899,-0.300005785233631,0.085987,0.034525,46.853,KiDS,2,0.577500104988406,3.55944288660115,0.130836074008553,0.937385810033981,-0.0082533781557689,-0.0419903880797481,-0.0408773220583969,-0.383019396415239,-0.0411818742621792,-0.385992785233631
