Tile,DMAG_AUTO
KIDS_136.0_-1.5,0.1070422429271628
KIDS_158.0_-1.5,0.0899851972441249
KIDS_356.5_-32.1,0.1114537536490727
KIDS_238.0_-0.5,0.1046686813606218
KIDS_129.4_2.5,0.1143831188086701
KIDS_11.2_-27.2,0.0847712273723652
KIDS_12.5_-29.2,0.1139466787352546
KIDS_15.0_-30.2,0.1606038358097326
KIDS_212.0_0.5,0.1131469081404255
KIDS_190.0_-0.5,0.1166201542577988
KIDS_336.1_-29.2,0.0831344650595491
KIDS_48.2_-32.1,0.1134003622225112
KIDS_350.8_-30.2,0.0408529547559908
KIDS_168.5_2.5,0.150701275572308
KIDS_131.0_-0.5,0.1017345837657131
KIDS_45.6_-29.2,0.0887097713612298
KIDS_16.8_-34.1,0.1071581226769729
KIDS_24.3_-35.1,0.0443604240525991
KIDS_47.1_-32.1,0.0754502251691947
KIDS_345.3_-28.2,0.0709980879109294
KIDS_198.0_0.5,0.1021491348016604
KIDS_4.6_-30.2,0.1130968139241304
KIDS_231.0_1.5,0.1243890876675177
KIDS_46.8_-34.1,0.1072474632262494
KIDS_171.0_-0.5,0.1028225393265404
KIDS_46.2_-35.1,0.078657876994256
KIDS_27.3_-29.2,0.0119929362613951
KIDS_212.0_1.5,0.1307590369940662
KIDS_224.6_-2.5,0.1083681031551953
KIDS_30.0_-34.1,0.0864712253562391
KIDS_15.4_-33.1,0.0843835362912545
KIDS_17.5_-31.2,0.1310234131577564
KIDS_338.6_-28.2,0.0984205268612283
KIDS_16.1_-30.2,0.0849328423337057
KIDS_233.0_0.5,0.1129068743327648
KIDS_345.0_-30.2,0.0939470375653215
KIDS_215.0_0.5,0.1188262583434145
KIDS_176.5_-2.5,0.0920348796175734
KIDS_352.0_-29.2,0.080395142080384
KIDS_135.0_-0.5,0.1198035631533417
KIDS_38.4_-28.2,0.1019275455821452
KIDS_354.4_-27.2,0.1045098619096633
KIDS_329.4_-32.1,0.0972623236481973
KIDS_29.2_-27.2,0.0664291206806647
KIDS_14.4_-34.1,0.0611912144943032
KIDS_337.6_-27.2,0.0736304331956583
KIDS_34.1_-35.1,0.132892933445381
KIDS_50.6_-30.2,0.0836652456411442
KIDS_21.9_-35.1,0.0803410274449012
KIDS_220.0_0.5,0.1186544376706696
KIDS_133.0_-0.5,0.1354720231411448
KIDS_340.6_-29.2,0.0817028262610028
KIDS_331.2_-30.2,0.114171110366515
KIDS_161.4_3.5,0.1146134015334696
KIDS_343.0_-35.1,0.0942460398832312
KIDS_238.0_0.5,0.1034215830633583
KIDS_129.0_-0.5,0.1064805651740558
KIDS_197.5_-2.5,0.110750697195703
KIDS_164.0_-1.5,0.1331873866742385
KIDS_348.8_-27.2,0.0954343617078849
KIDS_210.6_3.5,0.0997103571460578
KIDS_39.6_-34.1,0.1396239395102253
KIDS_13.7_-29.2,0.1105885906930267
KIDS_233.6_2.5,-0.0490045043312285
KIDS_189.0_-1.5,0.0932362133254438
KIDS_15.7_-27.2,0.0832660592437647
KIDS_358.9_-27.2,0.0648882254343012
KIDS_168.0_1.5,0.0503177457699914
KIDS_335.2_-28.2,0.0805249243434629
KIDS_19.2_-34.1,0.0824502779950114
KIDS_2.4_-35.1,0.0903907160115272
KIDS_336.0_-34.1,0.0571050002402944
KIDS_47.1_-27.2,0.0910580484312182
KIDS_156.0_0.5,0.1128924873167392
KIDS_16.5_-32.1,0.1175140189730639
KIDS_216.0_-1.5,0.104139745330332
KIDS_330.0_-34.1,0.0933134627986252
KIDS_348.7_-28.2,0.0768551072927742
KIDS_228.0_-1.5,0.1201784472930301
KIDS_160.4_-2.5,0.1166982664681676
KIDS_348.0_-34.1,0.1156652427836604
KIDS_224.0_-0.5,0.1167186866047343
KIDS_185.0_1.5,0.0783637216611399
KIDS_29.4_-32.1,0.0791690661266497
KIDS_19.4_-29.2,0.0844507046110478
KIDS_214.6_2.5,0.1172944586976962
KIDS_2.3_-28.2,0.0899308801406094
KIDS_343.2_-34.1,0.1060085818867799
KIDS_346.9_-33.1,0.0834656915753134
KIDS_45.6_-34.1,0.0712646421183383
KIDS_180.5_3.5,0.1066252850163742
KIDS_42.8_-33.1,0.0858864593048904
KIDS_201.6_-2.5,0.0309827847140719
KIDS_339.0_-31.2,0.08709192041416
KIDS_47.8_-31.2,0.0948260448950494
KIDS_356.6_-27.2,0.094814248278141
KIDS_52.4_-29.2,0.0850014711304327
KIDS_22.6_-28.2,0.0574072615141233
KIDS_32.1_-33.1,0.0738692685250952
KIDS_1.1_-29.2,0.0646947893525816
KIDS_7.3_-35.1,0.0878393068616791
KIDS_207.0_-0.5,0.0581832992613216
KIDS_330.7_-28.2,0.0387277918516213
KIDS_197.0_1.5,0.1162666670928057
KIDS_136.0_-0.5,0.1651977071192891
KIDS_216.0_-0.5,0.0965256616976133
KIDS_33.6_-27.2,0.0610834655463083
KIDS_135.4_2.5,0.0655554741820843
KIDS_174.5_3.5,0.1201411390873299
KIDS_7.9_-27.2,0.0494007667913576
KIDS_193.0_-1.5,0.1071821209935992
KIDS_180.0_-0.5,0.1113391465655747
KIDS_213.6_3.5,0.041542677193205
KIDS_228.6_2.5,0.1213364439378606
KIDS_4.5_-28.2,0.0765438596673896
KIDS_236.0_1.5,0.0707128859123168
KIDS_191.0_1.5,0.110803965784809
KIDS_47.4_-28.2,0.0804531937693102
KIDS_169.5_3.5,0.1093985208992099
KIDS_167.0_-1.5,0.1118636298910847
KIDS_207.0_1.5,0.0829011576280798
KIDS_347.3_-30.2,0.1130428699581716
KIDS_179.0_-1.5,0.1085580388440001
KIDS_137.0_-0.5,0.1189494032357799
KIDS_344.7_-32.1,0.0822488465617373
KIDS_41.0_-29.2,0.0802702834605724
KIDS_16.8_-27.2,0.0998051322941879
KIDS_333.8_-29.2,0.1194512405262133
KIDS_187.5_3.5,0.0819922548810973
KIDS_21.0_-31.2,0.040104826366216
KIDS_48.0_-34.1,0.0762491011557146
KIDS_224.6_3.5,0.1019868787045609
KIDS_35.0_-31.2,0.1094308036415917
KIDS_213.0_-1.5,0.1165291604755984
KIDS_355.4_-29.2,0.0337236438870707
KIDS_346.6_-35.1,0.0916015021409547
KIDS_198.6_3.5,0.0994976739676469
KIDS_215.6_-2.5,0.1313682679186693
KIDS_163.0_1.5,0.1170167975284235
KIDS_329.7_-31.2,0.0975769670839323
KIDS_40.4_-27.2,0.0977330579392342
KIDS_205.0_-0.5,0.0733980137795168
KIDS_217.6_-3.5,0.0963000060162171
KIDS_235.7_2.5,0.0622260053511364
KIDS_183.0_-1.5,0.1477128548464837
KIDS_11.3_-28.2,0.0908282671396417
KIDS_334.5_-35.1,-0.0179693635823613
KIDS_37.0_-27.2,0.0782905047167725
KIDS_224.0_0.5,0.0898012912674577
KIDS_183.5_-3.5,0.1315679155068654
KIDS_338.4_-29.2,0.1254979544090341
KIDS_19.8_-31.2,0.085982878608328
KIDS_209.6_3.5,0.0865003336988709
KIDS_40.8_-34.1,0.1388119201194027
KIDS_343.1_-28.2,0.1240391122945414
KIDS_227.6_2.5,0.1102095647805938
KIDS_212.6_-3.5,0.1093082658370832
KIDS_53.3_-26.2,0.0743265438561572
KIDS_340.9_-27.2,0.0668560582837975
KIDS_225.0_-0.5,0.068838202476582
KIDS_337.2_-29.2,0.0719528455762402
KIDS_193.0_1.5,0.1153965127593155
KIDS_40.0_-32.1,0.0927782303054346
KIDS_208.0_-1.5,0.0933451380998029
KIDS_167.0_1.5,0.1134499862295722
KIDS_24.0_-34.1,0.0738123616455372
KIDS_192.0_1.5,0.1061491560996473
KIDS_338.1_-35.1,0.0903723707021673
KIDS_203.0_0.5,0.1027905584569401
KIDS_0.0_-31.2,0.0631080421521146
KIDS_33.0_-29.2,0.0792973502191646
KIDS_205.6_3.5,0.1271326513710602
KIDS_36.5_-32.1,0.0632093283964981
KIDS_21.6_-29.2,0.0709496048633962
KIDS_49.9_-35.1,0.0727960907287414
KIDS_47.8_-29.2,0.0831628087260064
KIDS_172.5_-3.5,0.1236591937218997
KIDS_16.9_-28.2,0.0731319866267041
KIDS_43.7_-27.2,0.0804128129291181
KIDS_26.0_-28.2,0.0654124538182521
KIDS_224.6_2.5,0.0968014784590972
KIDS_160.4_-3.5,0.1159459221808702
KIDS_176.0_1.5,0.1095977110281096
KIDS_222.6_3.5,0.1152440611397905
KIDS_222.6_-3.5,0.100496449199241
KIDS_37.2_-34.1,0.1288082442665726
KIDS_42.6_-27.2,0.0562776458198997
KIDS_332.0_-35.1,0.0443422755311466
KIDS_177.0_1.5,0.039967549152006
KIDS_215.6_3.5,0.0831916269592988
KIDS_178.0_1.5,0.0890314103528693
KIDS_161.0_-0.5,0.0850765069952709
KIDS_204.6_2.5,0.0968177741274187
KIDS_31.1_-30.2,4.378019832029789e-05
KIDS_347.5_-29.2,0.0859864730728271
KIDS_200.0_1.5,0.0856824653016807
KIDS_178.0_0.5,0.1025403470561222
KIDS_130.0_-1.5,0.118421899279232
KIDS_24.7_-27.2,0.0642047754357476
KIDS_38.0_-33.1,0.0970273315141574
KIDS_357.7_-29.2,0.083912609073108
KIDS_335.5_-31.2,0.0666548683817624
KIDS_163.0_0.5,0.051597977576638
KIDS_192.5_-3.5,0.1139326099947583
KIDS_157.0_-1.5,0.1119466655104451
KIDS_351.6_-34.1,0.0679653195645533
KIDS_183.5_3.5,0.1154032262956121
KIDS_226.0_0.5,0.0970288554038483
KIDS_25.6_-31.2,0.0776284577046511
KIDS_47.2_-30.2,0.0783138425753636
KIDS_161.0_1.5,0.1098784237830167
KIDS_237.0_-0.5,0.1158979979071989
KIDS_350.9_-29.2,0.1024762540082463
KIDS_203.6_-3.5,0.115548808806303
KIDS_53.5_-33.1,0.1068033060061997
KIDS_34.8_-34.1,0.0904981488398009
KIDS_201.6_2.5,0.1055314715105626
KIDS_131.0_1.5,0.1119050634070858
KIDS_12.7_-30.2,0.0606265794780562
KIDS_232.6_2.5,-0.1136650601728476
KIDS_355.5_-27.2,0.0990541102870209
KIDS_52.2_-26.2,0.0671865461348181
KIDS_170.0_-0.5,0.1086941947672466
KIDS_12.4_-28.2,0.0843188376810237
KIDS_336.2_-33.1,0.0746487413153118
KIDS_330.4_-29.2,0.1302298269512079
KIDS_130.4_2.5,0.1344702807741804
KIDS_221.0_-0.5,0.1214184245550351
KIDS_31.8_-32.1,0.1707213991178027
KIDS_10.6_-32.1,0.102327928745484
KIDS_169.0_-1.5,0.1233972294388264
KIDS_161.0_0.5,0.1289288724370996
KIDS_338.4_-34.1,0.0108143843277955
KIDS_197.0_0.5,0.0903344788124859
KIDS_162.5_-3.5,0.1097174309502225
KIDS_139.4_2.5,0.0937770139259884
KIDS_168.0_-0.5,0.0913958893059798
KIDS_46.3_-33.1,0.0994499664853469
KIDS_182.0_0.5,0.1321459587737119
KIDS_333.2_-31.2,0.0827203875151744
KIDS_206.0_-0.5,0.0637601464416164
KIDS_213.6_-3.5,0.0714281981884894
KIDS_216.0_1.5,0.1065935735824965
KIDS_28.5_-29.2,0.0887139688940457
KIDS_331.2_-34.1,0.1316088429873114
KIDS_189.5_-2.5,0.0832446969963808
KIDS_43.7_-30.2,0.0763508547584163
KIDS_21.2_-32.1,0.0217705010470375
KIDS_43.1_-31.2,0.0986087236480898
KIDS_218.0_1.5,0.1153228432160635
KIDS_45.1_-33.1,0.0854324302384031
KIDS_44.9_-30.2,0.085247430022665
KIDS_158.4_3.5,0.0928640767835451
KIDS_31.4_-27.2,0.0883084030459203
KIDS_179.5_2.5,0.1100254886403817
KIDS_186.0_1.5,0.1545328841298512
KIDS_177.0_-0.5,0.1160520795699789
KIDS_224.0_1.5,0.0925542770675403
KIDS_140.4_2.5,0.1278119664436833
KIDS_340.5_-35.1,0.0553818701315108
KIDS_178.5_-3.5,0.1199026355986886
KIDS_177.5_2.5,0.0996116155050839
KIDS_51.3_-29.2,0.0941382667218085
KIDS_194.5_-3.5,0.1067408230073671
KIDS_48.9_-31.2,0.0924441548161787
KIDS_0.0_-27.2,0.0787299627903131
KIDS_18.6_-31.2,0.108699807745035
KIDS_49.9_-33.1,0.0882214469615049
KIDS_336.3_-28.2,0.1225929692868212
KIDS_355.2_-34.1,0.0858546640431643
KIDS_339.3_-30.2,0.1002806960173688
KIDS_17.8_-33.1,0.0893915567228285
KIDS_9.7_-35.1,0.0923123487565864
KIDS_2.3_-29.2,0.1050873413809352
KIDS_48.2_-27.2,0.082109845959945
KIDS_158.4_-2.5,0.0820950592244836
KIDS_353.0_-31.2,0.0678479358163387
KIDS_188.0_1.5,0.1015494776199163
KIDS_161.0_-1.5,0.0923239244248589
KIDS_223.0_1.5,0.0830333449251605
KIDS_22.1_-31.2,0.0765885385568361
KIDS_162.0_1.5,0.0786149720545248
KIDS_342.7_-30.2,0.0804878479044753
KIDS_134.0_-0.5,0.1242276658751278
KIDS_14.6_-35.1,0.0770741566672632
KIDS_31.5_-31.2,0.109620881828584
KIDS_50.5_-27.2,0.0873343152332191
KIDS_156.0_-1.5,0.1037057477832246
KIDS_231.0_-1.5,0.1040037526151309
KIDS_38.4_-34.1,0.099203382727094
KIDS_206.6_-3.5,0.1220588608045692
KIDS_29.2_-35.1,0.0951415478518582
KIDS_138.0_0.5,0.0977571143754165
KIDS_52.7_-27.2,0.0859903491732835
KIDS_15.8_-28.2,0.0721847413528123
KIDS_220.6_-3.5,0.0906554944939165
KIDS_344.6_-33.1,0.0801870576559438
KIDS_356.4_-35.1,0.1063346737888671
KIDS_225.0_0.5,0.1310245359160362
KIDS_130.0_1.5,0.1100287494319134
KIDS_177.0_0.5,0.1191112116542941
KIDS_26.4_-34.1,0.0654829001513309
KIDS_195.0_1.5,0.0025620634799066
KIDS_225.0_1.5,0.145880111757995
KIDS_165.0_1.5,0.1152854381131923
KIDS_9.1_-29.2,0.0982178661267643
KIDS_26.8_-35.1,0.0959325030235908
KIDS_212.6_-2.5,0.122370578340725
KIDS_343.4_-33.1,0.1082103756364313
KIDS_4.7_-32.1,0.0903221642479326
KIDS_206.6_2.5,0.1029666515037725
KIDS_45.4_-31.2,0.0852815836786016
KIDS_40.6_-28.2,0.0455967652748465
KIDS_170.5_-3.5,0.1192343732698993
KIDS_330.8_-35.1,0.0909833509555099
KIDS_131.0_-1.5,0.1203012837041836
KIDS_23.8_-33.1,0.0718152150244793
KIDS_52.9_-30.2,0.0967846446241934
KIDS_222.0_1.5,-0.0315855825116156
KIDS_208.6_3.5,0.0989910792815848
KIDS_0.0_-34.1,0.0869817418687833
KIDS_353.1_-30.2,0.103220267674561
KIDS_208.6_-3.5,0.115293746197109
KIDS_232.0_-0.5,0.0704912174392978
KIDS_342.1_-27.2,0.0873460747698425
KIDS_331.5_-33.1,0.1006014778294578
KIDS_349.9_-27.2,0.0744932363793588
KIDS_221.6_2.5,0.1054173418697328
KIDS_159.0_-0.5,0.1102888114324963
KIDS_197.5_3.5,0.1298214580842196
KIDS_32.2_-30.2,0.1388063706310655
KIDS_343.7_-31.2,0.1200671707969021
KIDS_47.8_-26.2,0.099629829353358
KIDS_53.0_-28.2,0.073532577616914
KIDS_42.2_-29.2,0.1151462775202559
KIDS_184.5_2.5,0.1127519386573722
KIDS_6.9_-30.2,0.0782850053680572
KIDS_208.0_-0.5,0.0967361670275165
KIDS_217.0_-0.5,0.0968562061019284
KIDS_52.9_-32.1,0.0952332148852306
KIDS_351.0_-27.2,0.0725358181588903
KIDS_358.8_-33.1,0.0542789572881125
KIDS_348.3_-31.2,0.106590546605415
KIDS_29.9_-30.2,0.107459232318817
KIDS_1.2_-35.1,0.0900662523910599
KIDS_174.0_1.5,0.0901194508650932
KIDS_351.5_-35.1,0.0992030188928732
KIDS_186.5_-2.5,-0.0921050192144075
KIDS_37.7_-35.1,0.1047077841302494
KIDS_347.2_-31.2,0.088353589728449
KIDS_175.0_-1.5,0.1228268878725821
KIDS_211.0_-0.5,0.0966781137174717
KIDS_355.5_-28.2,0.0893856788204889
KIDS_222.0_-1.5,0.1006341733573978
KIDS_335.0_-33.1,0.0529944556098146
KIDS_28.8_-30.2,-0.0344314802184976
KIDS_340.0_-32.1,0.1384714635255234
KIDS_50.4_-34.1,0.1122647939332614
KIDS_231.0_-0.5,0.1066056134764164
KIDS_218.0_-0.5,0.1298401213885613
KIDS_204.0_1.5,0.0769891942863947
KIDS_129.0_1.5,0.1184781537664734
KIDS_185.0_-0.5,0.1246786951732605
KIDS_10.9_-35.1,0.0704389162026002
KIDS_39.6_-31.2,0.1049367668170649
KIDS_187.5_-2.5,0.1179624310978235
KIDS_182.5_3.5,0.0676821185386385
KIDS_168.5_-3.5,0.0766787507721024
KIDS_342.9_-29.2,0.0903662283647919
KIDS_49.4_-32.1,0.096048368328088
KIDS_184.0_0.5,0.1080629378107927
KIDS_354.2_-31.2,0.092091471562955
KIDS_176.0_-0.5,0.1200551367016699
KIDS_52.4_-31.2,0.1047030330223667
KIDS_45.9_-32.1,0.0664364177996408
KIDS_190.5_3.5,0.1206633103094825
KIDS_36.1_-31.2,0.0735320581760114
KIDS_50.0_-26.2,0.0767552985532837
