OBJECT,Catalogue,u_kids,u_gaia,u_kids_10,u_gaia_10,g_kids,g_gaia,g_kids_10,g_gaia_10,r_kids,r_gaia,r_kids_10,r_gaia_10,i_kids,i_gaia,i_kids_10,i_gaia_10,i2_kids,i2_gaia,i2_kids_10,i2_gaia_10,Ebv,b,Survey,FLAG
KIDS_171.0_-0.5,KIDS_171p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,1.3062217302593435,-0.0452424196023451,0.8517462920887066,-0.0462314196023452,0.371740307684214,0.030577,0.2399223553645835,0.035529,0.0267934056128128,0.030531,0.0290580775208764,0.035776,0.0786104971704113,0.072986,0.0834601170541045,0.076186,-1.111369426257241,0.075761,-0.9579408872901958,0.081867,0.028378,55.2862,KiDS,2
KIDS_172.5_-3.5,KIDS_172p5_m3p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.0989341266246575,-0.0915224427380389,0.1044850763984932,-0.0884494427380389,0.1529479239714571,0.099608,0.1569671121447174,0.103122,0.0062037286997048,0.011401,0.0101355781110999,0.014936,0.0274395915137506,0.036141,0.030848742942727,0.041418,-0.1006880601451226,-0.089579,-0.0945118010722195,-0.085191,0.041356,53.6341,KiDS,2
KIDS_37.2_-34.1,KIDS_37p2_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.0030702807757363,0.0137629049074279,-0.0130965296146176,0.0180189049074279,-0.0534795500651887,0.012381,-0.0532370843163215,0.013211,-0.0071019944122627,0.008996,-0.0051787970586318,0.012922,0.0534994970415848,0.039598,0.0557376130104613,0.04175,-0.0556539492997011,-0.063721,-0.0487889065084912,-0.06003,0.017191,-67.9687,KiDS,2
KIDS_27.6_-34.1,KIDS_27p6_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,99.0,-0.0204629496840449,0.0034313203172348,-0.0204629496840449,99.0,0.026719,0.0298041603168548,0.030455,99.0,0.05554,0.0430017421894307,0.057817,-99.0,0.026054,0.0248097509379769,0.030036,-99.0,-0.084414,-0.0921782118663584,-0.081441,0.016415,-75.5248,KiDS,1
KIDS_160.0_-0.5,KIDS_160p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.2371787919840584,-0.0532848483462386,0.2979165912610055,-0.0532848483462386,0.0325363681715587,-0.02055,0.0518439567424662,-0.017303,-0.0612300021134539,-0.049168,-0.05848019605158,-0.045493,0.0375534151522088,0.063995,0.035957819850054,0.069137,0.0447257293302889,0.073888,0.0428191672742294,0.077875,0.044882,48.0336,KiDS,2
KIDS_229.0_-1.5,KIDS_229p0_m1p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.8164712129403917,-0.0134783939198167,3.12690575070906,-0.0130093939198167,0.1700433813978208,0.057366,0.0101467817687861,0.061119,0.0159557589994548,0.027271,-1.07183491493604,0.031717,0.0397268341378476,0.047234,-1.380454613897222,0.051001,-0.1035885200529171,-0.091236,-1.529445463804372,-0.087926,0.121782,44.9564,KiDS,2
KIDS_229.6_2.5,KIDS_229p6_2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.5728093807733512,-0.0046907242150551,3.553319162386094,-0.0061237242150551,0.1886000740085531,0.057764,0.9982108100339808,0.060825,0.0233796218442311,0.031633,-0.0041933880797481,0.037797,0.0243146779416031,0.065192,-0.3151153964152385,0.067904,0.0417171257378208,0.082899,-0.3000057852336308,0.085987,0.034525,46.853,KiDS,2
