OBJECT,Catalogue,off_u_gaia,dmag_u,off_u
KIDS_27.6_-34.1,KIDS_27p6_m34p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,-0.09088709962578959,0,0.09088709962578959
KIDS_28.5_-33.1,KIDS_28p5_m33p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,0.017563166052169926,0.4221493501409121,0.40458618408874214
